0	1
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	16
10	63
11	332
12	1551
13	6194
14	22170
15	73803
16	227539
17	643287
18	1676585
19	4059507
20	9140960
21	19144058
22	37406542
23	68324814
24	116715408
25	186733496
26	280136522
27	394254312
28	520969038
29	646744880
30	754483288
31	827489750
32	853383227
33	827522734
34	754541910
35	646723918
36	520931424
37	394260944
38	280135936
39	186734028
40	116715276
41	68324624
42	37414231
43	19142244
44	9137867
45	4061550
46	1676670
47	642103
48	227025
49	74275
50	22433
51	6055
52	1560
53	358
54	66
55	14
56	4
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
