0	1
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	1
9	3
10	47
11	172
12	783
13	2985
14	11190
15	37278
16	113304
17	321361
18	838055
19	2031058
20	4569742
21	9567096
22	18708108
23	34163607
24	58360372
25	93380388
26	140054320
27	197118398
28	260481324
29	323343828
30	377257318
31	413794286
32	426704379
33	413732848
34	377248800
35	323367490
36	260460642
37	197129674
38	140074106
39	93365968
40	58369635
41	34164481
42	18698825
43	9571774
44	4566997
45	2028963
46	839996
47	321540
48	113876
49	37271
50	11025
51	3012
52	768
53	158
54	34
55	9
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
