0	1
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	1
79	2
80	4
81	3
82	13
83	30
84	48
85	72
86	193
87	365
88	650
89	1278
90	2444
91	4333
92	7763
93	13811
94	23745
95	40515
96	67860
97	112252
98	182386
99	289924
100	456425
101	705434
102	1071393
103	1601899
104	2354834
105	3411671
106	4860019
107	6809299
108	9392035
109	12758097
110	17052138
111	22425015
112	29035520
113	37000131
114	46406735
115	57309843
116	69655763
117	83358134
118	98187015
119	113845588
120	130004253
121	146091276
122	161667279
123	176154006
124	188926678
125	199499438
126	207410659
127	212320421
128	213964012
129	212297910
130	207413218
131	199496657
132	188896782
133	176134756
134	161680933
135	146117703
136	129993251
137	113852572
138	98185949
139	83358318
140	69667976
141	57295447
142	46418323
143	36999964
144	29036003
145	22427105
146	17041398
147	12756235
148	9393840
149	6811846
150	4857420
151	3412393
152	2354593
153	1602006
154	1071341
155	705193
156	457051
157	290729
158	182790
159	111938
160	67927
161	40438
162	23810
163	13615
164	7797
165	4278
166	2414
167	1252
168	707
169	349
170	192
171	83
172	49
173	22
174	16
175	1
176	1
177	1
178	0
179	0
180	1
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	0
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	0
198	0
199	0
200	0
201	0
202	0
203	0
204	0
205	0
206	0
207	0
208	0
209	0
210	0
211	0
212	0
213	0
214	0
215	0
216	0
217	0
218	0
219	0
220	0
221	0
222	0
223	0
224	0
225	0
226	0
227	0
228	0
229	0
230	0
231	0
232	0
233	0
234	0
235	0
236	0
237	0
238	0
239	0
240	0
241	0
242	0
243	0
244	0
245	0
246	0
247	0
248	0
249	0
250	0
251	0
252	0
253	0
254	0
255	0
256	0
